iter	Passed	Remaining
0	152	151878
1	153	76683
2	155	51598
3	156	39039
4	158	31531
5	160	26515
6	161	22929
7	163	20239
8	165	18168
9	166	16505
10	168	15128
11	169	13984
12	171	13011
13	173	12251
14	176	11601
15	179	11012
16	181	10488
17	187	10222
18	190	9846
19	192	9441
20	194	9071
21	196	8721
22	197	8400
23	199	8103
24	200	7837
25	202	7595
26	204	7364
27	205	7149
28	207	6946
29	209	6758
30	210	6585
31	212	6423
32	213	6267
33	215	6128
34	217	5992
35	218	5862
36	220	5737
37	222	5621
38	223	5509
39	225	5406
40	226	5304
41	228	5213
42	230	5125
43	231	5038
44	233	4953
45	235	4874
46	236	4799
47	238	4726
48	239	4657
49	241	4589
50	243	4528
51	245	4470
52	246	4408
53	248	4348
54	249	4292
55	251	4238
56	252	4185
57	254	4134
58	256	4085
59	257	4038
60	259	3992
61	261	3949
62	262	3907
63	264	3865
64	265	3823
65	267	3782
66	268	3745
67	269	3698
68	271	3664
69	273	3630
70	274	3595
71	276	3562
72	277	3528
73	279	3498
74	281	3467
75	282	3436
76	284	3406
77	285	3378
78	287	3353
79	289	3325
80	290	3298
81	292	3271
82	293	3245
83	295	3219
84	296	3192
85	298	3176
86	300	3153
87	302	3134
88	304	3113
89	305	3092
90	307	3071
91	309	3052
92	311	3033
93	312	3012
94	314	2993
95	316	2977
96	317	2958
97	319	2938
98	320	2920
99	322	2904
100	324	2886
101	325	2862
102	326	2845
103	328	2828
104	329	2812
105	331	2797
106	333	2780
107	334	2763
108	336	2749
109	337	2733
110	339	2718
111	340	2702
112	342	2687
113	344	2674
114	345	2660
115	346	2644
116	348	2631
117	350	2623
118	352	2608
119	354	2596
120	356	2587
121	358	2579
122	359	2565
123	361	2555
124	365	2557
125	367	2548
126	369	2537
127	370	2521
128	371	2509
129	373	2500
130	375	2490
131	376	2479
132	378	2467
133	380	2456
134	400	2569
135	402	2558
136	404	2547
137	405	2533
138	407	2522
139	408	2510
140	410	2499
141	411	2487
142	413	2476
143	414	2465
144	416	2457
145	418	2447
146	419	2436
147	421	2426
148	422	2415
149	424	2405
150	426	2395
151	427	2385
152	429	2375
153	430	2366
154	432	2357
155	433	2347
156	435	2338
157	437	2329
158	438	2319
159	440	2310
160	441	2302
161	444	2297
162	446	2292
163	448	2286
164	451	2284
165	453	2278
166	455	2272
167	457	2267
168	461	2268
169	463	2261
170	465	2254
171	466	2246
172	468	2241
173	470	2234
174	472	2227
175	475	2226
176	477	2220
177	479	2212
178	481	2206
179	482	2199
180	483	2188
181	485	2181
182	487	2175
183	489	2170
184	491	2164
185	492	2157
186	494	2149
187	496	2142
188	497	2135
189	499	2129
190	501	2122
191	503	2118
192	505	2114
193	507	2108
194	509	2101
195	510	2094
196	512	2089
197	514	2082
198	515	2075
199	520	2083
200	525	2090
201	535	2114
202	536	2107
203	538	2100
204	540	2094
205	545	2102
206	547	2097
207	549	2093
208	551	2087
209	553	2081
210	556	2079
211	558	2074
212	562	2078
213	564	2073
214	566	2066
215	567	2060
216	569	2053
217	570	2046
218	572	2040
219	573	2034
220	576	2030
221	577	2023
222	579	2017
223	580	2011
224	582	2005
225	583	1998
226	585	1992
227	586	1987
228	589	1984
229	591	1980
230	593	1975
231	594	1969
232	596	1963
233	597	1957
234	599	1951
235	634	2053
236	637	2051
237	638	2045
238	640	2038
239	641	2032
240	643	2025
241	644	2019
242	646	2013
243	648	2007
244	651	2006
245	652	2000
246	654	1994
247	655	1988
248	657	1982
249	658	1976
250	660	1972
251	662	1967
252	664	1963
253	668	1964
254	670	1960
255	672	1955
256	674	1949
257	676	1944
258	677	1939
259	679	1934
260	681	1928
261	682	1922
262	684	1917
263	685	1912
264	687	1906
265	689	1901
266	690	1895
267	692	1890
268	693	1885
269	695	1880
270	697	1874
271	698	1869
272	700	1864
273	701	1859
274	703	1853
275	704	1848
276	706	1844
277	708	1840
278	710	1835
279	711	1830
280	713	1825
281	714	1820
282	716	1815
283	718	1810
